"Group","PPH","Direct %","Indirect %","Gap %"
" -> 2026-05-04 -> Cameron Hodges -> Returns Clerk -> Sarah Pinkerton -> 2026-05-08","0","0.00%","90.96%","0.04%"
" -> 2026-05-04 -> Cameron Hodges -> Returns Clerk -> Sarah Pinkerton -> 2026-05-10","0","0.00%","23.67%","0.00%"
" -> 2026-05-04 -> Chelsea Chappell","102","64.71%","15.53%","5.58%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker","99","75.95%","17.59%","6.46%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Anthony Garcia","92","87.10%","7.57%","5.32%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Anthony Garcia -> 2026-05-08","92","90.48%","6.00%","3.52%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Anthony Garcia -> 2026-05-09","88","81.83%","12.60%","5.57%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Anthony Garcia -> 2026-05-10","95","88.89%","4.19%","6.92%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Anthony Gonzales","72","56.17%","11.56%","32.27%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Anthony Gonzales -> 2026-05-06","0","0.00%","33.91%","66.09%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Anthony Gonzales -> 2026-05-08","72","75.87%","2.87%","21.27%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Anthony Gonzales -> 2026-05-09","71","77.20%","6.38%","16.42%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Anthony Lewis","106","87.49%","6.91%","5.60%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Anthony Lewis -> 2026-05-05","104","93.32%","0.00%","6.68%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Anthony Lewis -> 2026-05-08","116","85.99%","8.32%","5.68%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Anthony Lewis -> 2026-05-09","98","86.04%","7.83%","6.13%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Anthony Lewis -> 2026-05-10","104","87.97%","7.32%","4.71%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Brandyn Cardona","106","86.32%","7.91%","5.76%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Brandyn Cardona -> 2026-05-09","108","81.23%","12.43%","6.34%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Brandyn Cardona -> 2026-05-10","105","91.41%","3.40%","5.19%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Edgar Gutierrez","82","32.01%","62.95%","5.03%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Edgar Gutierrez -> 2026-05-08","92","28.22%","68.81%","2.97%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Edgar Gutierrez -> 2026-05-09","15","16.06%","82.24%","1.70%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Edgar Gutierrez -> 2026-05-10","97","51.90%","37.61%","10.49%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Erick Maness","102","72.87%","20.62%","6.51%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Erick Maness -> 2026-05-06","0","0.00%","100.00%","0.00%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Erick Maness -> 2026-05-07","96","87.95%","0.00%","12.05%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Erick Maness -> 2026-05-08","99","85.91%","9.59%","4.49%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Erick Maness -> 2026-05-09","109","83.91%","9.84%","6.26%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Erick Maness -> 2026-05-10","106","45.06%","47.23%","7.71%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Evan Hudson","103","88.27%","6.81%","4.92%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Evan Hudson -> 2026-05-08","98","87.58%","8.91%","3.51%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Evan Hudson -> 2026-05-09","105","90.97%","5.79%","3.25%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Evan Hudson -> 2026-05-10","107","86.30%","5.70%","7.99%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Ivan Maldonado","111","90.47%","4.53%","5.01%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Ivan Maldonado -> 2026-05-08","118","90.98%","3.40%","5.61%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Ivan Maldonado -> 2026-05-09","113","86.63%","7.48%","5.89%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Ivan Maldonado -> 2026-05-10","101","94.08%","2.54%","3.37%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Ricky Serna","100","89.70%","4.66%","5.64%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Ricky Serna -> 2026-05-04","98","92.49%","0.00%","7.51%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Ricky Serna -> 2026-05-07","84","88.89%","0.00%","11.11%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Ricky Serna -> 2026-05-08","99","90.94%","3.11%","5.95%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Ricky Serna -> 2026-05-09","97","86.36%","10.52%","3.12%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Ricky Serna -> 2026-05-10","115","90.19%","7.12%","2.69%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Sam Cunningham","75","80.60%","11.37%","8.03%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Sam Cunningham -> 2026-05-08","76","86.61%","5.75%","7.64%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Sam Cunningham -> 2026-05-09","74","76.36%","15.95%","7.69%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Sam Cunningham -> 2026-05-10","75","78.94%","12.30%","8.76%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Zack Alday","110","54.71%","42.50%","2.79%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Zack Alday -> 2026-05-04","132","93.15%","0.00%","6.85%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Zack Alday -> 2026-05-07","117","94.44%","0.00%","5.56%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Zack Alday -> 2026-05-08","113","37.38%","62.62%","0.00%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Zack Alday -> 2026-05-09","93","44.93%","53.26%","1.81%"
" -> 2026-05-04 -> Chelsea Chappell -> Picker -> Zack Alday -> 2026-05-10","101","48.94%","47.46%","3.60%"
" -> 2026-05-04 -> Chelsea Chappell -> Put Away","122","31.27%","9.40%","2.93%"
" -> 2026-05-04 -> Chelsea Chappell -> Put Away -> Adain Burnett","106","21.69%","7.64%","1.94%"
" -> 2026-05-04 -> Chelsea Chappell -> Put Away -> Adain Burnett -> 2026-05-08","173","0.71%","7.06%","0.06%"
" -> 2026-05-04 -> Chelsea Chappell -> Put Away -> Adain Burnett -> 2026-05-09","0","0.00%","1.14%","0.64%"
" -> 2026-05-04 -> Chelsea Chappell -> Put Away -> Adain Burnett -> 2026-05-10","106","64.65%","14.68%","5.14%"
" -> 2026-05-04 -> Chelsea Chappell -> Put Away -> Aj Brister","97","14.90%","8.97%","1.67%"
" -> 2026-05-04 -> Chelsea Chappell -> Put Away -> Aj Brister -> 2026-05-08","100","40.88%","5.33%","4.94%"
" -> 2026-05-04 -> Chelsea Chappell -> Put Away -> Aj Brister -> 2026-05-09","33","1.65%","16.58%","0.00%"
" -> 2026-05-04 -> Chelsea Chappell -> Put Away -> Aj Brister -> 2026-05-10","82","1.63%","5.06%","0.00%"
" -> 2026-05-04 -> Chelsea Chappell -> Put Away -> Angel Rosales","122","27.28%","1.34%","3.22%"
" -> 2026-05-04 -> Chelsea Chappell -> Put Away -> Angel Rosales -> 2026-05-04","129","88.99%","0.00%","11.01%"
" -> 2026-05-04 -> Chelsea Chappell -> Put Away -> Angel Rosales -> 2026-05-05","110","90.24%","0.00%","9.76%"
" -> 2026-05-04 -> Chelsea Chappell -> Put Away -> Angel Rosales -> 2026-05-08","0","0.00%","2.31%","0.00%"
" -> 2026-05-04 -> Chelsea Chappell -> Put Away -> Angel Rosales -> 2026-05-09","0","0.00%","1.54%","0.00%"
" -> 2026-05-04 -> Chelsea Chappell -> Put Away -> Peyton Randolph","136","71.55%","22.85%","5.60%"
" -> 2026-05-04 -> Chelsea Chappell -> Put Away -> Peyton Randolph -> 2026-05-08","108","84.57%","6.58%","8.86%"
" -> 2026-05-04 -> Chelsea Chappell -> Put Away -> Peyton Randolph -> 2026-05-09","141","75.27%","18.84%","5.89%"
" -> 2026-05-04 -> Chelsea Chappell -> Put Away -> Peyton Randolph -> 2026-05-10","138","64.72%","30.73%","4.54%"
" -> 2026-05-04 -> Christopher Sandoval","105","3.74%","95.75%","0.51%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler","105","3.74%","95.75%","0.51%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Adam Vega","127","12.72%","85.32%","1.97%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Adam Vega -> 2026-05-04","154","12.28%","86.66%","1.06%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Adam Vega -> 2026-05-05","114","28.22%","68.10%","3.68%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Adam Vega -> 2026-05-06","169","4.55%","92.86%","2.60%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Adam Vega -> 2026-05-07","135","11.41%","87.54%","1.05%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Adam Vega -> 2026-05-08","95","16.07%","82.15%","1.78%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Adam Vega -> 2026-05-09","0","0.00%","100.00%","0.00%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Andrew Orozco","90","5.44%","94.30%","0.26%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Andrew Orozco -> 2026-05-04","0","0.00%","99.77%","0.23%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Andrew Orozco -> 2026-05-05","0","0.00%","99.57%","0.43%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Andrew Orozco -> 2026-05-06","0","0.00%","100.00%","0.00%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Andrew Orozco -> 2026-05-07","90","21.38%","78.20%","0.42%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Jacques Doucette","81","10.43%","89.36%","0.21%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Jacques Doucette -> 2026-05-04","81","20.41%","79.48%","0.10%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Jacques Doucette -> 2026-05-05","0","0.00%","100.00%","0.00%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Jacques Doucette -> 2026-05-06","0","0.00%","99.76%","0.24%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Jacques Doucette -> 2026-05-07","81","21.23%","78.28%","0.49%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Jason Moore","0","0.00%","99.80%","0.20%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Jason Moore -> 2026-05-04","0","0.00%","99.89%","0.11%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Jason Moore -> 2026-05-05","0","0.00%","100.00%","0.00%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Jason Moore -> 2026-05-06","0","0.00%","99.78%","0.22%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Jason Moore -> 2026-05-07","0","0.00%","99.54%","0.46%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Jesus Aristiguieta","114","3.86%","95.86%","0.28%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Jesus Aristiguieta -> 2026-05-04","0","0.00%","99.61%","0.39%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Jesus Aristiguieta -> 2026-05-05","114","21.05%","78.95%","0.00%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Jesus Aristiguieta -> 2026-05-06","0","0.00%","99.85%","0.15%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Jesus Aristiguieta -> 2026-05-07","0","0.00%","99.58%","0.42%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Jesus Aristiguieta -> 2026-05-09","0","0.00%","99.54%","0.46%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Jesus Aristiguieta -> 2026-05-10","0","0.00%","99.66%","0.34%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Luis Arevalo","0","0.00%","99.70%","0.30%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Luis Arevalo -> 2026-05-04","0","0.00%","99.62%","0.38%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Luis Arevalo -> 2026-05-05","0","0.00%","100.00%","0.00%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Luis Arevalo -> 2026-05-07","0","0.00%","99.48%","0.52%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Mabel Figueroa","0","0.00%","99.75%","0.25%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Mabel Figueroa -> 2026-05-04","0","0.00%","99.43%","0.57%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Mabel Figueroa -> 2026-05-05","0","0.00%","100.00%","0.00%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Mabel Figueroa -> 2026-05-06","0","0.00%","99.78%","0.22%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Mabel Figueroa -> 2026-05-07","0","0.00%","99.83%","0.17%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Marq Brandenburg","0","0.00%","99.69%","0.31%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Marq Brandenburg -> 2026-05-04","0","0.00%","99.85%","0.15%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Marq Brandenburg -> 2026-05-05","0","0.00%","100.00%","0.00%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Marq Brandenburg -> 2026-05-06","0","0.00%","98.67%","1.33%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Marq Brandenburg -> 2026-05-07","0","0.00%","99.68%","0.32%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Matt Morelli","95","9.69%","90.19%","0.12%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Matt Morelli -> 2026-05-04","92","20.83%","78.98%","0.19%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Matt Morelli -> 2026-05-05","0","0.00%","100.00%","0.00%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Matt Morelli -> 2026-05-06","99","17.84%","81.98%","0.18%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Matt Morelli -> 2026-05-07","0","0.00%","99.89%","0.11%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Mike Sgro","0","0.00%","99.78%","0.22%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Mike Sgro -> 2026-05-04","0","0.00%","99.65%","0.35%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Mike Sgro -> 2026-05-05","0","0.00%","100.00%","0.00%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Mike Sgro -> 2026-05-06","0","0.00%","99.56%","0.44%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Mike Sgro -> 2026-05-07","0","0.00%","99.77%","0.23%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Mike Sgro -> 2026-05-08","0","0.00%","100.00%","0.00%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Optimus Myers","0","0.00%","99.75%","0.25%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Optimus Myers -> 2026-05-05","0","0.00%","100.00%","0.00%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Optimus Myers -> 2026-05-06","0","0.00%","99.86%","0.14%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Optimus Myers -> 2026-05-07","0","0.00%","99.41%","0.59%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Sal Odenbrett","0","0.00%","99.66%","0.34%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Sal Odenbrett -> 2026-05-04","0","0.00%","99.88%","0.12%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Sal Odenbrett -> 2026-05-05","0","0.00%","100.00%","0.00%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Sal Odenbrett -> 2026-05-06","0","0.00%","99.80%","0.20%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Sal Odenbrett -> 2026-05-07","0","0.00%","100.00%","0.00%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Sal Odenbrett -> 2026-05-08","0","0.00%","98.06%","1.94%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Xavier Villa","115","0.22%","98.21%","1.57%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Xavier Villa -> 2026-05-04","0","0.00%","99.60%","0.40%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Xavier Villa -> 2026-05-05","0","0.00%","100.00%","0.00%"
" -> 2026-05-04 -> Christopher Sandoval -> Material Handler -> Xavier Villa -> 2026-05-06","115","0.65%","95.08%","4.27%"
" -> 2026-05-04 -> Jada Tingley","103","61.51%","26.41%","10.36%"
" -> 2026-05-04 -> Jada Tingley -> Load Out","102","71.17%","15.76%","11.86%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Benji Villa-Tapia","115","76.55%","9.84%","13.62%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Benji Villa-Tapia -> 2026-05-04","108","65.82%","22.25%","11.93%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Benji Villa-Tapia -> 2026-05-05","144","90.67%","0.00%","9.33%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Benji Villa-Tapia -> 2026-05-06","122","76.97%","14.41%","8.62%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Benji Villa-Tapia -> 2026-05-07","98","72.18%","7.31%","20.50%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Benji Villa-Tapia -> 2026-05-08","95","81.07%","0.00%","18.93%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Brady Warrick","105","74.05%","0.65%","25.30%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Brady Warrick -> 2026-05-04","117","80.22%","0.00%","19.78%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Brady Warrick -> 2026-05-05","109","77.29%","2.67%","20.04%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Brady Warrick -> 2026-05-06","83","72.94%","0.00%","27.06%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Brady Warrick -> 2026-05-07","108","66.32%","0.00%","33.68%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Chris Veba","89","55.12%","27.47%","17.41%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Chris Veba -> 2026-05-04","86","60.51%","30.60%","8.89%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Chris Veba -> 2026-05-05","98","50.29%","29.68%","20.03%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Chris Veba -> 2026-05-06","84","54.17%","21.49%","24.34%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Devin Moore","68","85.35%","0.00%","14.65%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Devin Moore -> 2026-05-04","80","85.52%","0.00%","14.48%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Devin Moore -> 2026-05-05","59","83.30%","0.00%","16.70%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Devin Moore -> 2026-05-06","83","85.97%","0.00%","14.03%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Devin Moore -> 2026-05-07","56","86.76%","0.00%","13.24%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Howard Sandberg","126","79.86%","12.50%","7.64%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Howard Sandberg -> 2026-05-04","146","79.35%","15.62%","5.03%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Howard Sandberg -> 2026-05-05","113","87.42%","3.60%","8.98%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Howard Sandberg -> 2026-05-06","129","65.02%","26.30%","8.68%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Howard Sandberg -> 2026-05-07","116","88.09%","3.93%","7.97%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Josiah Roberts","86","69.69%","21.26%","9.06%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Josiah Roberts -> 2026-05-04","92","76.44%","19.13%","4.43%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Josiah Roberts -> 2026-05-05","81","68.32%","23.36%","8.32%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Josiah Roberts -> 2026-05-06","95","58.53%","26.95%","14.52%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Josiah Roberts -> 2026-05-07","77","74.81%","15.94%","9.24%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Michael Walters","112","77.05%","13.85%","9.10%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Michael Walters -> 2026-05-04","113","76.41%","16.59%","7.00%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Michael Walters -> 2026-05-05","113","80.34%","7.61%","12.04%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Michael Walters -> 2026-05-06","116","83.89%","9.50%","6.62%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Michael Walters -> 2026-05-07","105","68.01%","21.24%","10.75%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Nomar Sierra","102","79.08%","12.46%","8.46%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Nomar Sierra -> 2026-05-04","111","80.73%","10.48%","8.80%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Nomar Sierra -> 2026-05-05","104","72.41%","14.22%","13.37%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Nomar Sierra -> 2026-05-06","105","78.85%","11.01%","10.14%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Nomar Sierra -> 2026-05-07","87","83.26%","14.48%","2.26%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Owen Holt","100","51.36%","29.45%","13.51%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Owen Holt -> 2026-05-04","103","55.64%","29.70%","14.66%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Owen Holt -> 2026-05-05","101","57.01%","23.06%","17.59%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Owen Holt -> 2026-05-06","84","36.51%","31.30%","11.65%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Owen Holt -> 2026-05-07","106","56.17%","33.56%","10.27%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Robert Sloan","100","78.14%","13.75%","8.11%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Robert Sloan -> 2026-05-04","107","75.56%","17.83%","6.61%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Robert Sloan -> 2026-05-05","103","77.49%","14.37%","8.14%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Robert Sloan -> 2026-05-06","101","75.66%","13.51%","10.83%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Robert Sloan -> 2026-05-07","95","75.41%","13.15%","11.43%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Robert Sloan -> 2026-05-08","94","92.02%","7.34%","0.64%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Shawn Smith","97","63.44%","16.08%","14.38%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Shawn Smith -> 2026-05-04","112","76.95%","9.36%","13.69%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Shawn Smith -> 2026-05-05","91","68.39%","8.79%","22.82%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Shawn Smith -> 2026-05-06","94","9.24%","45.28%","7.42%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Shawn Smith -> 2026-05-07","93","66.11%","14.65%","19.24%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Shawn Smith -> 2026-05-08","87","92.04%","7.96%","0.00%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Zach Appleberry","88","65.78%","25.30%","8.92%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Zach Appleberry -> 2026-05-04","88","67.79%","21.79%","10.42%"
" -> 2026-05-04 -> Jada Tingley -> Load Out -> Zach Appleberry -> 2026-05-07","88","65.17%","26.36%","8.47%"
" -> 2026-05-04 -> Jada Tingley -> Lot Attendant","102","68.55%","16.23%","11.08%"
" -> 2026-05-04 -> Jada Tingley -> Lot Attendant -> Alex Sanchez","109","63.77%","25.58%","10.66%"
" -> 2026-05-04 -> Jada Tingley -> Lot Attendant -> Alex Sanchez -> 2026-05-04","110","62.30%","26.93%","10.77%"
" -> 2026-05-04 -> Jada Tingley -> Lot Attendant -> Alex Sanchez -> 2026-05-05","109","82.56%","8.07%","9.37%"
" -> 2026-05-04 -> Jada Tingley -> Lot Attendant -> Alex Sanchez -> 2026-05-06","110","52.74%","41.56%","5.70%"
" -> 2026-05-04 -> Jada Tingley -> Lot Attendant -> Alex Sanchez -> 2026-05-07","109","60.62%","22.93%","16.45%"
" -> 2026-05-04 -> Jada Tingley -> Lot Attendant -> Danny Barraza","97","59.85%","13.14%","12.52%"
" -> 2026-05-04 -> Jada Tingley -> Lot Attendant -> Danny Barraza -> 2026-05-04","107","81.78%","9.62%","8.60%"
" -> 2026-05-04 -> Jada Tingley -> Lot Attendant -> Danny Barraza -> 2026-05-05","104","26.70%","13.60%","11.81%"
" -> 2026-05-04 -> Jada Tingley -> Lot Attendant -> Danny Barraza -> 2026-05-06","80","45.65%","14.19%","18.68%"
" -> 2026-05-04 -> Jada Tingley -> Lot Attendant -> Danny Barraza -> 2026-05-07","97","66.43%","19.26%","14.31%"
" -> 2026-05-04 -> Jada Tingley -> Lot Attendant -> Danny Barraza -> 2026-05-08","99","81.88%","8.49%","9.63%"
" -> 2026-05-04 -> Jada Tingley -> Lot Attendant -> Danny Barraza -> 2026-05-09","89","82.00%","8.67%","9.33%"
" -> 2026-05-04 -> Jada Tingley -> Lot Attendant -> Jason Borelli","106","85.07%","6.18%","8.75%"
" -> 2026-05-04 -> Jada Tingley -> Lot Attendant -> Jason Borelli -> 2026-05-04","97","84.81%","11.76%","3.42%"
" -> 2026-05-04 -> Jada Tingley -> Lot Attendant -> Jason Borelli -> 2026-05-05","102","87.06%","2.59%","10.36%"
" -> 2026-05-04 -> Jada Tingley -> Lot Attendant -> Jason Borelli -> 2026-05-06","109","81.26%","8.01%","10.73%"
" -> 2026-05-04 -> Jada Tingley -> Lot Attendant -> Jason Borelli -> 2026-05-07","115","87.17%","2.34%","10.49%"
